epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,333.058,1.31432,0.95763,1.41553,0.8182,0.85465,0.89683,0.53321,1.44983,0.88785,1.70268,0.00179705,0.00179705,0.00179705
43,340.665,1.32042,0.96413,1.41879,0.90111,0.84884,0.91674,0.57415,1.38745,0.81183,1.60922,0.0017921,0.0017921,0.0017921
44,348.414,1.30977,0.95656,1.41977,0.87151,0.88372,0.89732,0.49315,1.52184,0.93013,1.6865,0.00178715,0.00178715,0.00178715
45,356.077,1.32356,0.95099,1.40016,0.91483,0.85465,0.93174,0.60033,1.35037,0.80714,1.60322,0.0017822,0.0017822,0.0017822
46,363.879,1.29784,0.91637,1.41921,0.9275,0.90116,0.9408,0.60497,1.29743,0.73036,1.54202,0.00177725,0.00177725,0.00177725
47,371.497,1.26216,0.91395,1.3547,0.9042,0.86047,0.91753,0.57624,1.30825,0.79435,1.60429,0.0017723,0.0017723,0.0017723
48,379.562,1.29857,0.92589,1.4017,0.93957,0.88372,0.94129,0.60747,1.25471,0.74674,1.5353,0.00176735,0.00176735,0.00176735
49,387.139,1.23935,0.89674,1.36273,0.91162,0.85465,0.91435,0.57641,1.34811,0.78786,1.60722,0.0017624,0.0017624,0.0017624
50,394.927,1.26713,0.87523,1.36183,0.9065,0.86628,0.92145,0.56184,1.35162,0.80645,1.60807,0.00175745,0.00175745,0.00175745
51,402.328,1.31554,0.95367,1.4187,0.91966,0.86628,0.91657,0.57014,1.35367,0.75941,1.59344,0.0017525,0.0017525,0.0017525
52,410.163,1.26239,0.88522,1.36649,0.90079,0.90698,0.93466,0.60155,1.27169,0.78061,1.52046,0.00174755,0.00174755,0.00174755
53,417.908,1.23143,0.84524,1.36931,0.87327,0.9186,0.9403,0.60696,1.30303,0.7406,1.581,0.0017426,0.0017426,0.0017426
54,425.716,1.21729,0.83212,1.33331,0.92388,0.91741,0.95696,0.61854,1.29806,0.68259,1.53847,0.00173765,0.00173765,0.00173765
55,433.475,1.22586,0.84585,1.3542,0.92856,0.87791,0.93946,0.57842,1.35615,0.73419,1.56756,0.0017327,0.0017327,0.0017327
56,441.11,1.22664,0.84574,1.35402,0.9279,0.90116,0.95624,0.59532,1.37253,0.68611,1.59506,0.00172775,0.00172775,0.00172775
57,448.597,1.22205,0.84369,1.34945,0.91122,0.88372,0.94081,0.59485,1.32204,0.69088,1.56056,0.0017228,0.0017228,0.0017228
58,456.247,1.22248,0.83835,1.3238,0.92725,0.92442,0.95607,0.61445,1.27796,0.66492,1.53815,0.00171785,0.00171785,0.00171785
59,463.86,1.23962,0.82027,1.32373,0.9244,0.91279,0.93596,0.60446,1.27582,0.74089,1.54793,0.0017129,0.0017129,0.0017129
60,471.618,1.23867,0.8519,1.35652,0.95713,0.90854,0.96073,0.61453,1.3064,0.64833,1.54383,0.00170795,0.00170795,0.00170795
61,479.337,1.21672,0.83202,1.33932,0.9496,0.9186,0.94785,0.58141,1.36996,0.72729,1.61314,0.001703,0.001703,0.001703
62,486.945,1.20937,0.81072,1.31898,0.92369,0.9186,0.9487,0.60237,1.2838,0.6878,1.54629,0.00169805,0.00169805,0.00169805
63,494.636,1.24268,0.8416,1.35434,0.9176,0.93023,0.94579,0.60383,1.35262,0.6898,1.57364,0.0016931,0.0016931,0.0016931
64,502.212,1.21114,0.86665,1.3554,0.93403,0.93023,0.95386,0.6061,1.3482,0.68715,1.58103,0.00168815,0.00168815,0.00168815
65,510.009,1.22419,0.87784,1.35091,0.95016,0.90116,0.95551,0.61992,1.30912,0.65713,1.55963,0.0016832,0.0016832,0.0016832
66,517.725,1.18277,0.82205,1.31222,0.92561,0.90116,0.93869,0.63161,1.24468,0.64616,1.51443,0.00167825,0.00167825,0.00167825
67,525.58,1.21175,0.83413,1.33246,0.91844,0.92442,0.93811,0.58607,1.35234,0.70181,1.55531,0.0016733,0.0016733,0.0016733
68,533.12,1.18713,0.813,1.33517,0.9165,0.92442,0.95326,0.62319,1.26231,0.65378,1.51809,0.00166835,0.00166835,0.00166835
69,540.944,1.18184,0.79967,1.31548,0.91845,0.91677,0.93347,0.6033,1.31345,0.67375,1.59282,0.0016634,0.0016634,0.0016634
70,548.581,1.19396,0.80367,1.30803,0.9406,0.92057,0.95208,0.59389,1.30798,0.68629,1.5525,0.00165845,0.00165845,0.00165845
