                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7806,                 1.6705,                 1.5355,                0.58863,                 0.5499,                0.57512,                0.23992,                 1.8839,                 1.7069,                 1.6706,              0.0018367,              0.0018367,              0.0018367
                     35,                  1.823,                 1.7132,                 1.5565,                0.63141,                0.57841,                 0.6347,                0.29322,                 1.7961,                 1.5637,                 1.6191,              0.0018317,              0.0018317,              0.0018317
                     36,                 1.8026,                 1.6747,                 1.5678,                0.66224,                0.53971,                0.59544,                0.27807,                 1.8036,                 1.6983,                 1.6374,              0.0018267,              0.0018267,              0.0018267
                     37,                 1.8033,                 1.6483,                 1.5553,                0.58834,                0.55804,                0.57449,                0.24888,                 1.8173,                 1.8201,                 1.6542,              0.0018218,              0.0018218,              0.0018218
                     38,                 1.7473,                 1.6505,                  1.537,                 0.5958,                0.57434,                0.58557,                0.26967,                 1.8285,                 1.6153,                 1.6209,              0.0018168,              0.0018168,              0.0018168
                     39,                 1.7895,                 1.6013,                 1.5333,                0.61662,                0.60489,                 0.6265,                0.30591,                 1.7682,                 1.4932,                 1.5575,              0.0018119,              0.0018119,              0.0018119
                     40,                 1.7483,                 1.5669,                  1.537,                0.63064,                0.61914,                0.63227,                0.30845,                 1.7294,                 1.5118,                 1.5565,              0.0018069,              0.0018069,              0.0018069
                     41,                 1.7226,                 1.5971,                 1.5241,                0.62462,                  0.611,                0.65721,                0.31332,                 1.7413,                 1.5286,                 1.5709,               0.001802,               0.001802,               0.001802
                     42,                 1.7372,                 1.5747,                 1.5148,                0.56748,                0.59878,                0.60516,                0.29096,                 1.7416,                 1.6497,                 1.5701,              0.0017971,              0.0017971,              0.0017971
                     43,                 1.7433,                 1.5521,                 1.5194,                0.61928,                0.63747,                0.65823,                 0.3279,                 1.7213,                 1.5218,                 1.5553,              0.0017921,              0.0017921,              0.0017921
                     44,                 1.7033,                 1.5027,                 1.4995,                0.68247,                0.66536,                0.70202,                0.35777,                 1.6733,                 1.3941,                 1.5475,              0.0017872,              0.0017872,              0.0017872
                     45,                 1.7526,                 1.5206,                 1.5284,                0.68322,                0.59878,                0.67038,                0.30634,                 1.8059,                 1.5126,                 1.6239,              0.0017822,              0.0017822,              0.0017822
                     46,                 1.7407,                 1.5325,                 1.5215,                0.64925,                0.61711,                0.63831,                 0.3079,                 1.7143,                 1.4856,                 1.5572,              0.0017772,              0.0017772,              0.0017772
                     47,                 1.6932,                 1.4824,                 1.4772,                0.67902,                 0.6334,                0.67344,                0.32319,                 1.7372,                 1.5096,                 1.5737,              0.0017723,              0.0017723,              0.0017723
                     48,                 1.7372,                 1.4705,                 1.4976,                0.61022,                0.61303,                0.61351,                0.27935,                 1.7626,                 1.5988,                 1.6061,              0.0017674,              0.0017674,              0.0017674
