                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                 1.1096,                0.76124,                 1.1254,                0.91782,                0.82485,                0.89047,                 0.6359,                 1.2423,                0.82875,                 1.2952,              0.0012624,              0.0012624,              0.0012624
                    151,                 1.1042,                0.74532,                 1.1116,                0.87838,                0.83707,                0.88919,                0.63532,                 1.2152,                0.84087,                 1.2723,              0.0012575,              0.0012575,              0.0012575
                    152,                 1.0662,                0.72382,                  1.092,                0.90593,                0.83299,                0.88958,                 0.6234,                 1.2232,                0.85071,                 1.2783,              0.0012526,              0.0012526,              0.0012526
                    153,                 1.1165,                0.77516,                 1.1262,                 0.9053,                0.84929,                0.89927,                0.62179,                 1.2371,                0.87163,                  1.277,              0.0012476,              0.0012476,              0.0012476
                    154,                 1.1131,                0.75367,                 1.1292,                0.90793,                0.84354,                0.90037,                0.62765,                 1.2338,                0.83876,                  1.278,              0.0012426,              0.0012426,              0.0012426
                    155,                 1.1149,                  0.774,                 1.1202,                0.90086,                0.85132,                0.89172,                0.62931,                 1.2104,                0.83098,                 1.2606,              0.0012377,              0.0012377,              0.0012377
                    156,                 1.1125,                0.76162,                 1.1217,                0.88354,                0.84979,                0.90043,                 0.6353,                 1.2031,                 0.8211,                 1.2654,              0.0012328,              0.0012328,              0.0012328
                    157,                 1.0985,                0.76283,                 1.1145,                0.88954,                0.83707,                0.89298,                0.62788,                 1.2347,                0.84524,                 1.2954,              0.0012278,              0.0012278,              0.0012278
                    158,                 1.1243,                0.78566,                 1.1349,                0.90705,                0.85462,                0.89875,                0.63039,                 1.2209,                0.82439,                 1.2937,              0.0012228,              0.0012228,              0.0012228
                    159,                 1.0748,                0.74206,                 1.1035,                0.90677,                0.84114,                0.90245,                0.63955,                 1.1958,                 0.8105,                 1.2786,              0.0012179,              0.0012179,              0.0012179
                    160,                 1.0837,                0.72137,                 1.1084,                0.91514,                0.83466,                0.90202,                0.64723,                 1.1973,                0.82941,                 1.2654,              0.0012129,              0.0012129,              0.0012129
                    161,                 1.0565,                0.72982,                 1.0911,                0.91807,                0.84443,                0.89814,                0.64674,                 1.1819,                0.80825,                 1.2692,               0.001208,               0.001208,               0.001208
                    162,                 1.1316,                0.74408,                 1.1176,                0.91609,                 0.8391,                0.89222,                0.63112,                 1.2515,                0.83206,                 1.2962,               0.001203,               0.001203,               0.001203
                    163,                  1.132,                0.74707,                 1.1244,                0.92283,                0.83096,                0.88808,                0.63527,                  1.199,                 0.8619,                 1.2754,              0.0011981,              0.0011981,              0.0011981
                    164,                 1.1213,                0.75713,                 1.1087,                0.90534,                 0.8571,                0.89541,                0.64061,                 1.2006,                0.83232,                 1.2791,              0.0011932,              0.0011932,              0.0011932
                    165,                  1.071,                0.74822,                 1.1001,                0.92848,                0.83096,                0.89689,                0.64882,                 1.1804,                0.78952,                 1.2654,              0.0011882,              0.0011882,              0.0011882
                    166,                 1.0727,                0.71896,                 1.1043,                0.90396,                0.84725,                0.90397,                0.63514,                 1.2345,                0.81758,                 1.2923,              0.0011833,              0.0011833,              0.0011833
                    167,                  1.074,                0.72601,                 1.1006,                 0.9184,                0.83707,                0.90187,                 0.6388,                  1.232,                0.82555,                 1.2934,              0.0011783,              0.0011783,              0.0011783
                    168,                 1.0232,                0.70081,                 1.0823,                0.92699,                0.83096,                0.90124,                0.65806,                 1.1495,                0.79918,                 1.2567,              0.0011734,              0.0011734,              0.0011734
                    169,                 1.0353,                0.71646,                 1.0825,                0.92952,                0.82892,                0.89197,                0.64666,                 1.1778,                 0.8312,                 1.2629,              0.0011684,              0.0011684,              0.0011684
                    170,                 1.0236,                0.69484,                 1.0779,                0.92317,                0.84725,                0.89196,                0.65315,                 1.1707,                0.84475,                 1.2694,              0.0011635,              0.0011635,              0.0011635
                    171,                 1.0392,                0.69347,                 1.0918,                 0.9043,                0.82757,                0.88998,                0.64141,                  1.197,                0.88314,                 1.2903,              0.0011585,              0.0011585,              0.0011585
                    172,                 1.0329,                0.70322,                 1.0895,                0.91523,                 0.8391,                0.88857,                0.65041,                 1.1792,                0.83739,                  1.274,              0.0011536,              0.0011536,              0.0011536
                    173,                 1.0486,                0.69612,                 1.0811,                0.88976,                 0.8554,                0.88813,                0.64941,                 1.1797,                0.81292,                 1.2793,              0.0011486,              0.0011486,              0.0011486
                    174,                 1.0213,                0.67231,                 1.0764,                 0.9228,                0.85207,                0.89614,                 0.6562,                 1.1646,                0.80418,                 1.2548,              0.0011437,              0.0011437,              0.0011437
                    175,                 1.0622,                0.71198,                 1.0939,                 0.9251,                0.83503,                0.89907,                0.65452,                 1.1792,                0.82496,                 1.2558,              0.0011387,              0.0011387,              0.0011387
                    176,                 1.0514,                0.69059,                 1.0898,                0.92128,                0.85947,                0.89993,                 0.6506,                 1.1631,                0.77834,                 1.2649,              0.0011337,              0.0011337,              0.0011337
                    177,                   1.05,                0.70303,                 1.1018,                0.93636,                0.84521,                0.90164,                0.66052,                 1.1391,                0.78143,                 1.2548,              0.0011288,              0.0011288,              0.0011288
                    178,                 1.0419,                0.70428,                 1.0929,                0.93467,                0.84507,                0.90472,                 0.6715,                 1.1297,                0.81163,                  1.242,              0.0011239,              0.0011239,              0.0011239
                    179,                 1.0235,                0.69972,                 1.0885,                0.87744,                 0.8778,                0.89749,                0.66517,                 1.1352,                0.78662,                 1.2422,              0.0011189,              0.0011189,              0.0011189
                    180,                 1.0142,                0.70491,                 1.0776,                0.90155,                0.85795,                 0.8867,                0.66251,                 1.1423,                0.81163,                 1.2426,               0.001114,               0.001114,               0.001114
                    181,                0.98747,                0.66102,                 1.0678,                 0.9214,                0.84318,                0.88404,                0.65968,                 1.1453,                0.83064,                 1.2512,               0.001109,               0.001109,               0.001109
                    182,                 1.0154,                0.70797,                 1.0817,                0.88617,                0.82077,                0.87935,                 0.6298,                 1.2214,                0.89798,                 1.2628,              0.0011041,              0.0011041,              0.0011041
                    183,                 1.0568,                 0.7271,                 1.0885,                0.90861,                0.83503,                0.89379,                0.65477,                 1.1591,                0.85974,                 1.2455,              0.0010991,              0.0010991,              0.0010991
                    184,                 1.0404,                0.70394,                 1.0676,                0.86627,                0.85753,                0.88025,                0.63645,                 1.1705,                0.82342,                 1.2783,              0.0010941,              0.0010941,              0.0010941
                    185,                0.99201,                0.67628,                 1.0681,                0.91568,                0.85743,                0.89425,                0.66093,                 1.1284,                0.83311,                 1.2443,              0.0010892,              0.0010892,              0.0010892
                    186,                0.99931,                 0.6873,                 1.0556,                0.91151,                0.84725,                  0.894,                0.66491,                 1.1458,                0.80988,                 1.2522,              0.0010842,              0.0010842,              0.0010842
                    187,                 1.0227,                0.69928,                 1.0616,                0.91733,                0.83707,                0.89778,                0.66084,                 1.1335,                0.77952,                 1.2342,              0.0010793,              0.0010793,              0.0010793
                    188,                 1.0185,                0.69779,                 1.0682,                0.92579,                0.84929,                0.90073,                0.66627,                 1.1538,                0.77472,                 1.2511,              0.0010743,              0.0010743,              0.0010743
                    189,                 1.0067,                0.68337,                 1.0715,                0.92277,                0.85175,                0.89963,                 0.6706,                 1.1304,                 0.7963,                 1.2403,              0.0010694,              0.0010694,              0.0010694
                    190,                0.97522,                0.65529,                 1.0585,                0.93668,                0.84359,                0.90378,                0.67985,                  1.097,                0.76907,                 1.2213,              0.0010645,              0.0010645,              0.0010645
                    191,                0.96239,                0.65565,                 1.0501,                0.93747,                0.84318,                0.89984,                0.67997,                 1.1117,                0.77052,                 1.2472,              0.0010595,              0.0010595,              0.0010595
                    192,                0.98213,                0.67971,                 1.0714,                0.92475,                0.85099,                 0.8982,                0.68448,                 1.0971,                0.76991,                 1.2361,              0.0010545,              0.0010545,              0.0010545
                    193,                0.91791,                 0.6406,                 1.0348,                0.94097,                0.84407,                0.90616,                0.70206,                 1.0705,                0.78368,                 1.2198,              0.0010496,              0.0010496,              0.0010496
                    194,                0.92995,                0.64853,                 1.0451,                0.93682,                0.84725,                0.90573,                0.68205,                 1.0906,                0.77378,                 1.2369,              0.0010447,              0.0010447,              0.0010447
                    195,                0.93397,                0.63739,                 1.0293,                0.93928,                0.85057,                0.90962,                0.68957,                 1.0751,                0.75504,                 1.2142,              0.0010397,              0.0010397,              0.0010397
                    196,                0.95633,                0.64934,                 1.0478,                0.93649,                0.83707,                0.89866,                0.69431,                 1.0798,                 0.8003,                 1.2163,              0.0010347,              0.0010347,              0.0010347
                    197,                0.94659,                0.65508,                 1.0403,                0.92064,                0.83707,                0.89363,                 0.6863,                 1.0792,                0.80391,                 1.2165,              0.0010298,              0.0010298,              0.0010298
                    198,                0.98273,                 0.6981,                  1.066,                 0.9291,                0.82742,                0.89961,                 0.6817,                 1.1007,                0.79948,                 1.2226,              0.0010249,              0.0010249,              0.0010249
                    199,                0.94402,                0.63247,                 1.0404,                0.91571,                 0.8554,                0.89983,                0.67685,                 1.0733,                0.78105,                  1.237,              0.0010199,              0.0010199,              0.0010199
                    200,                0.93817,                0.66252,                 1.0337,                0.93625,                0.83752,                0.89398,                0.66635,                 1.1157,                0.79743,                 1.2359,              0.0010149,              0.0010149,              0.0010149
                    201,                0.96759,                0.63045,                 1.0452,                0.93412,                0.83748,                0.90342,                 0.6795,                 1.1153,                0.77707,                 1.2254,                0.00101,                0.00101,                0.00101
                    202,                0.96513,                0.64948,                 1.0453,                0.93744,                0.84521,                0.89778,                0.67224,                 1.1259,                 0.7929,                 1.2309,               0.001005,               0.001005,               0.001005
                    203,                0.94906,                0.63798,                 1.0475,                0.94196,                0.82631,                0.90086,                0.69505,                 1.0696,                0.77156,                    1.2,              0.0010001,              0.0010001,              0.0010001
                    204,                0.94309,                0.66242,                 1.0512,                 0.9258,                0.83856,                0.89326,                0.67826,                 1.1073,                0.80236,                 1.2263,             0.00099515,             0.00099515,             0.00099515
                    205,                0.94534,                0.65597,                 1.0402,                0.91148,                0.85743,                0.89661,                0.69158,                 1.0716,                0.78302,                 1.2107,              0.0009902,              0.0009902,              0.0009902
                    206,                0.93326,                0.62694,                 1.0282,                0.94022,                0.82892,                0.89544,                0.70247,                 1.0486,                0.79015,                 1.2089,             0.00098525,             0.00098525,             0.00098525
                    207,                  0.932,                0.62987,                 1.0195,                0.91551,                0.86066,                 0.9053,                0.69911,                 1.0727,                0.77775,                 1.2153,              0.0009803,              0.0009803,              0.0009803
                    208,                 0.9049,                0.62503,                 1.0292,                  0.919,                0.85502,                0.90346,                0.70099,                 1.0427,                0.76942,                 1.2127,             0.00097535,             0.00097535,             0.00097535
                    209,                0.91521,                0.62005,                 1.0253,                0.94472,                 0.8353,                0.90124,                0.69221,                 1.0665,                0.78371,                 1.2107,              0.0009704,              0.0009704,              0.0009704
                    210,                0.90791,                0.61448,                 1.0143,                0.92422,                0.84318,                0.89863,                0.69593,                 1.0631,                0.80064,                 1.2021,             0.00096545,             0.00096545,             0.00096545
                    211,                0.93328,                0.62163,                 1.0425,                0.92437,                0.84632,                0.90963,                0.71047,                 1.0348,                0.75586,                 1.1928,              0.0009605,              0.0009605,              0.0009605
                    212,                 0.8803,                0.60347,                 1.0104,                0.94307,                0.83707,                0.90974,                0.72239,                 1.0109,                0.77142,                 1.1778,             0.00095555,             0.00095555,             0.00095555
                    213,                0.89162,                 0.6108,                 1.0092,                0.93397,                0.84929,                0.90554,                 0.7154,                 1.0282,                0.77906,                 1.1918,              0.0009506,              0.0009506,              0.0009506
                    214,                 0.8933,                0.61247,                 1.0175,                0.94359,                0.84114,                0.90619,                0.71274,                  1.033,                0.79333,                 1.1956,             0.00094565,             0.00094565,             0.00094565
                    215,                0.90052,                0.62294,                 1.0184,                 0.9449,                0.83831,                0.90912,                0.71267,                 1.0358,                0.77517,                 1.1885,              0.0009407,              0.0009407,              0.0009407
                    216,                0.89112,                0.60142,                 1.0229,                0.92582,                0.86965,                0.90979,                0.71203,                 1.0444,                0.78202,                 1.1978,             0.00093575,             0.00093575,             0.00093575
                    217,                0.90988,                0.61727,                 1.0175,                0.94521,                0.84929,                0.91179,                0.71061,                 1.0585,                0.76897,                 1.2077,              0.0009308,              0.0009308,              0.0009308
                    218,                0.93093,                0.62861,                  1.024,                0.93467,                0.86151,                0.90641,                0.70489,                 1.0688,                  0.782,                 1.2118,             0.00092585,             0.00092585,             0.00092585
                    219,                0.89179,                 0.5884,                 1.0144,                 0.9229,                0.86151,                0.89935,                0.69457,                 1.0587,                0.75952,                 1.1989,              0.0009209,              0.0009209,              0.0009209
                    220,                0.89492,                0.60353,                 1.0036,                0.93008,                0.86558,                0.90796,                0.70364,                 1.0599,                0.72564,                  1.215,             0.00091595,             0.00091595,             0.00091595
                    221,                0.91083,                0.61471,                 1.0225,                0.94573,                0.85187,                0.89862,                0.69976,                 1.0593,                 0.7767,                 1.2184,               0.000911,               0.000911,               0.000911
                    222,                0.87214,                0.59879,                 1.0182,                0.94294,                0.83707,                0.89912,                0.69275,                 1.0739,                0.78139,                  1.233,             0.00090605,             0.00090605,             0.00090605
                    223,                0.91892,                0.63477,                 1.0352,                0.94706,                0.83794,                0.90011,                0.69928,                 1.0639,                0.79458,                 1.2229,              0.0009011,              0.0009011,              0.0009011
                    224,                 0.8816,                0.58799,                  1.003,                0.94699,                0.84929,                0.90721,                0.71447,                 1.0259,                0.75094,                 1.2114,             0.00089615,             0.00089615,             0.00089615
                    225,                0.88761,                0.58841,                 1.0129,                0.93004,                0.86636,                0.91053,                0.71675,                   1.02,                0.73339,                  1.199,              0.0008912,              0.0008912,              0.0008912
                    226,                0.87251,                0.60025,                0.98936,                0.93352,                0.86762,                0.90878,                0.71092,                 1.0283,                0.73576,                 1.1874,             0.00088625,             0.00088625,             0.00088625
                    227,                0.84082,                0.57629,                0.99463,                0.92213,                 0.8682,                0.91271,                0.70239,                 1.0505,                0.75228,                 1.2164,              0.0008813,              0.0008813,              0.0008813
                    228,                0.87205,                0.58843,                0.99727,                0.93368,                0.86025,                0.90906,                0.71348,                 1.0325,                0.74679,                 1.2103,             0.00087635,             0.00087635,             0.00087635
                    229,                0.83553,                0.57759,                0.99554,                0.92234,                0.85947,                0.90535,                 0.7119,                 1.0331,                0.74446,                 1.2081,              0.0008714,              0.0008714,              0.0008714
                    230,                0.85145,                0.57062,                 0.9895,                0.92705,                 0.8554,                0.90254,                 0.7022,                 1.0548,                0.75642,                 1.2188,             0.00086645,             0.00086645,             0.00086645
                    231,                0.86615,                0.58361,                 1.0004,                0.91911,                0.86354,                0.91216,                0.71764,                0.98495,                0.75626,                 1.1826,              0.0008615,              0.0008615,              0.0008615
                    232,                0.87611,                0.59562,                 1.0247,                0.93662,                0.85132,                0.91229,                0.72306,                0.99606,                0.76049,                 1.1868,             0.00085655,             0.00085655,             0.00085655
                    233,                 0.8764,                0.59435,                 1.0104,                0.94338,                0.83707,                0.90384,                0.71172,                  1.019,                0.76024,                 1.1987,              0.0008516,              0.0008516,              0.0008516
                    234,                0.88317,                0.59555,                 0.9976,                0.92586,                0.83932,                0.89877,                0.68869,                  1.088,                0.79035,                 1.2229,             0.00084665,             0.00084665,             0.00084665
                    235,                0.91812,                0.61909,                 1.0263,                0.94614,                 0.8391,                0.90045,                0.68982,                 1.0801,                0.79941,                 1.2098,              0.0008417,              0.0008417,              0.0008417
                    236,                0.86863,                0.60251,                 1.0091,                0.93294,                0.84998,                0.90107,                0.70269,                 1.0526,                0.74693,                 1.2234,             0.00083675,             0.00083675,             0.00083675
                    237,                0.85351,                0.57816,                 0.9998,                0.92286,                0.85947,                0.90356,                0.71844,                0.98588,                0.73791,                 1.1853,              0.0008318,              0.0008318,              0.0008318
                    238,                0.85692,                0.58539,                 1.0123,                0.94631,                0.85336,                0.91008,                0.72578,                0.98869,                0.72405,                 1.1947,             0.00082685,             0.00082685,             0.00082685
                    239,                0.84372,                0.57177,                0.99946,                0.93981,                0.85864,                0.90969,                0.73714,                0.95722,                0.72111,                 1.1676,              0.0008219,              0.0008219,              0.0008219
                    240,                0.82852,                0.57157,                0.98795,                0.94763,                0.84758,                0.90741,                0.72163,                0.98587,                0.71468,                 1.1874,             0.00081695,             0.00081695,             0.00081695
                    241,                0.86992,                0.60544,                 1.0124,                0.92015,                0.86965,                0.90433,                0.71768,                 1.0056,                0.72837,                 1.2004,               0.000812,               0.000812,               0.000812
                    242,                0.83895,                0.57455,                0.99072,                 0.9381,                0.86428,                0.91546,                0.72734,                0.98575,                0.72065,                 1.1786,             0.00080705,             0.00080705,             0.00080705
                    243,                0.86313,                0.60018,                 1.0095,                0.93589,                0.84929,                0.90868,                0.72283,                 1.0072,                0.72307,                 1.2038,              0.0008021,              0.0008021,              0.0008021
                    244,                0.83635,                 0.5761,                 0.9842,                0.93729,                0.85947,                0.91427,                0.74078,                0.94786,                 0.7264,                 1.1556,             0.00079715,             0.00079715,             0.00079715
                    245,                0.79995,                0.55636,                0.97146,                0.94194,                0.85132,                0.91068,                0.73413,                0.96258,                 0.7233,                 1.1689,              0.0007922,              0.0007922,              0.0007922
                    246,                 0.8202,                0.55373,                0.97866,                0.94045,                0.85336,                0.90403,                0.72544,                0.96255,                0.73413,                  1.189,             0.00078725,             0.00078725,             0.00078725
                    247,                0.81136,                0.55844,                  0.981,                0.92938,                0.85132,                0.90069,                0.72391,                0.98657,                0.73162,                 1.2042,              0.0007823,              0.0007823,              0.0007823
                    248,                0.80904,                 0.5382,                0.97581,                0.95126,                0.84114,                0.91355,                0.73945,                 0.9586,                0.71017,                 1.1809,             0.00077735,             0.00077735,             0.00077735
                    249,                0.83572,                0.57587,                0.99043,                0.92805,                0.86696,                0.91457,                0.74032,                0.95094,                0.71499,                 1.1813,              0.0007724,              0.0007724,              0.0007724
                    250,                0.82147,                0.53779,                 0.9799,                0.91299,                0.87624,                0.91041,                0.73226,                  0.964,                0.72031,                 1.1803,             0.00076745,             0.00076745,             0.00076745
                    251,                0.79654,                0.53742,                0.96435,                0.91628,                0.87576,                0.90325,                0.72927,                 0.9631,                0.70802,                  1.181,              0.0007625,              0.0007625,              0.0007625
                    252,                0.82528,                0.56219,                0.98597,                 0.9168,                0.87527,                0.90345,                0.73033,                0.94921,                0.70769,                 1.1723,             0.00075755,             0.00075755,             0.00075755
                    253,                0.81394,                0.55734,                0.98335,                0.93596,                0.84318,                0.90192,                0.71536,                0.98043,                 0.7295,                 1.1786,              0.0007526,              0.0007526,              0.0007526
                    254,                0.79528,                0.54741,                0.96895,                0.94279,                0.82892,                0.90008,                0.72504,                0.99356,                0.77501,                 1.2054,             0.00074765,             0.00074765,             0.00074765
                    255,                0.79813,                0.54786,                 0.9692,                0.92821,                0.83299,                0.89998,                 0.7323,                0.96109,                0.75842,                 1.1965,              0.0007427,              0.0007427,              0.0007427
                    256,                0.82078,                0.56282,                0.98213,                0.94062,                0.84114,                0.90062,                0.73195,                 0.9633,                0.74868,                 1.1693,             0.00073775,             0.00073775,             0.00073775
                    257,                0.82479,                0.54389,                0.97943,                0.95131,                 0.8357,                0.90568,                0.73071,                0.97745,                0.73274,                 1.1839,              0.0007328,              0.0007328,              0.0007328
                    258,                0.85375,                0.59688,                 1.0007,                0.94667,                0.84725,                0.90738,                0.71809,                 1.0354,                0.75916,                 1.2079,             0.00072785,             0.00072785,             0.00072785
                    259,                0.82335,                0.57109,                0.97995,                0.93912,                0.84114,                0.90507,                0.72999,                0.98455,                0.74721,                 1.1898,              0.0007229,              0.0007229,              0.0007229
                    260,                0.81708,                 0.5784,                0.97593,                0.96467,                0.83412,                0.91267,                0.74137,                0.96051,                0.72036,                 1.1762,             0.00071795,             0.00071795,             0.00071795
                    261,                 0.7942,                 0.5479,                0.97152,                 0.9295,                0.85929,                0.90892,                0.74607,                0.95674,                0.71792,                 1.1716,               0.000713,               0.000713,               0.000713
                    262,                 0.7768,                0.52957,                0.96153,                0.91412,                0.86965,                0.91259,                0.74844,                0.94205,                0.71732,                  1.173,             0.00070805,             0.00070805,             0.00070805
                    263,                0.78492,                0.53479,                 0.9612,                0.94093,                0.85336,                 0.9083,                0.74383,                0.92916,                0.71819,                 1.1661,              0.0007031,              0.0007031,              0.0007031
                    264,                0.79408,                0.54161,                0.97301,                0.94338,                 0.8484,                0.90376,                0.73964,                0.91605,                0.72731,                 1.1526,             0.00069815,             0.00069815,             0.00069815
                    265,                0.75819,                0.53225,                0.95166,                0.94536,                0.84564,                0.89506,                0.73022,                0.93027,                0.74721,                 1.1625,              0.0006932,              0.0006932,              0.0006932
                    266,                0.79049,                 0.5396,                  0.963,                0.93098,                0.85947,                0.89575,                0.72448,                0.95513,                0.75239,                 1.1877,             0.00068825,             0.00068825,             0.00068825
                    267,                0.75885,                0.51426,                 0.9538,                0.93619,                0.86654,                0.90466,                0.72565,                0.96068,                0.72018,                 1.1916,              0.0006833,              0.0006833,              0.0006833
                    268,                0.79233,                0.56143,                0.96827,                0.92185,                 0.8649,                0.90843,                0.73103,                0.95665,                0.73248,                 1.1796,             0.00067835,             0.00067835,             0.00067835
                    269,                0.81315,                0.56253,                0.97724,                0.92396,                0.86615,                0.91156,                 0.7319,                0.95541,                0.74585,                 1.1639,              0.0006734,              0.0006734,              0.0006734
                    270,                0.78331,                0.54965,                0.95901,                0.94945,                0.85336,                0.91129,                0.74274,                0.94199,                0.74849,                 1.1578,             0.00066845,             0.00066845,             0.00066845
                    271,                0.79605,                0.55842,                0.97516,                0.95844,                0.84929,                0.91151,                 0.7446,                 0.9505,                0.73819,                 1.1744,              0.0006635,              0.0006635,              0.0006635
                    272,                0.76032,                0.51313,                 0.9583,                0.95181,                0.84477,                0.91058,                0.73727,                0.96841,                0.72528,                 1.1795,             0.00065855,             0.00065855,             0.00065855
                    273,                0.78391,                 0.5331,                0.96175,                0.92588,                0.86506,                0.90892,                0.73841,                 0.9602,                0.73607,                 1.1786,              0.0006536,              0.0006536,              0.0006536
                    274,                0.78965,                0.54032,                0.97128,                0.94945,                0.84166,                0.90727,                0.74087,                0.92016,                0.72032,                 1.1525,             0.00064865,             0.00064865,             0.00064865
                    275,                0.78533,                0.53632,                0.97635,                0.92911,                 0.8542,                0.91258,                0.74414,                0.91502,                0.72226,                 1.1503,              0.0006437,              0.0006437,              0.0006437
                    276,                0.78303,                0.52966,                0.96249,                0.94309,                 0.8438,                0.91038,                0.74745,                 0.9178,                0.73167,                 1.1474,             0.00063875,             0.00063875,             0.00063875
                    277,                0.76998,                0.52997,                0.96049,                0.93492,                 0.8554,                0.91384,                0.74384,                0.93456,                0.73127,                 1.1482,              0.0006338,              0.0006338,              0.0006338
                    278,                0.79032,                0.54027,                0.96802,                0.95379,                 0.8408,                 0.9092,                0.74163,                 0.9361,                0.74398,                  1.152,             0.00062885,             0.00062885,             0.00062885
                    279,                0.75988,                0.52627,                0.94762,                0.94089,                0.85336,                0.90792,                0.74584,                0.92753,                0.74293,                 1.1481,              0.0006239,              0.0006239,              0.0006239
                    280,                0.75436,                0.49791,                0.94856,                0.91946,                0.86025,                0.90634,                0.74563,                0.92793,                0.74587,                 1.1643,             0.00061895,             0.00061895,             0.00061895
                    281,                0.76555,                0.52244,                 0.9619,                0.94943,                0.84118,                0.91235,                0.75708,                 0.9175,                 0.7421,                 1.1671,               0.000614,               0.000614,               0.000614
                    282,                0.75619,                0.50277,                0.96131,                0.92358,                0.86965,                0.91744,                0.75537,                0.93004,                0.74674,                 1.1629,             0.00060905,             0.00060905,             0.00060905
                    283,                0.77664,                0.50663,                0.96086,                0.95292,                0.84929,                0.91906,                 0.7626,                0.91779,                0.74029,                 1.1589,              0.0006041,              0.0006041,              0.0006041
                    284,                0.77999,                0.54181,                0.96184,                0.94207,                0.86117,                 0.9134,                0.75406,                0.92078,                 0.7264,                 1.1705,             0.00059915,             0.00059915,             0.00059915
                    285,                0.76386,                 0.5116,                0.94721,                0.93766,                0.85947,                0.90867,                0.74854,                0.91603,                0.70109,                 1.1662,              0.0005942,              0.0005942,              0.0005942
                    286,                0.74796,                0.52138,                0.95098,                0.93243,                0.87123,                0.90853,                0.74603,                0.91688,                0.69741,                 1.1599,             0.00058925,             0.00058925,             0.00058925
                    287,                0.73314,                0.49805,                 0.9318,                0.92744,                 0.8778,                0.91021,                0.74917,                0.92517,                0.71244,                 1.1629,              0.0005843,              0.0005843,              0.0005843
                    288,                0.76216,                0.53191,                0.96696,                0.93914,                0.86558,                0.90573,                0.74432,                0.92068,                0.73967,                 1.1641,             0.00057935,             0.00057935,             0.00057935
                    289,                 0.7714,                0.52345,                0.97578,                0.93496,                0.84898,                0.90284,                0.73389,                0.94368,                0.75279,                 1.1702,              0.0005744,              0.0005744,              0.0005744
                    290,                0.73736,                0.52198,                0.95205,                0.93931,                0.85109,                0.90942,                0.74608,                0.91841,                0.72597,                 1.1605,             0.00056945,             0.00056945,             0.00056945
                    291,                0.77587,                0.53052,                0.96479,                0.92552,                0.86048,                 0.9073,                0.73298,                0.94666,                0.73683,                 1.1738,              0.0005645,              0.0005645,              0.0005645
                    292,                0.78204,                0.53137,                0.96373,                0.91367,                0.86965,                 0.9093,                0.74387,                0.92547,                0.72628,                 1.1642,             0.00055955,             0.00055955,             0.00055955
                    293,                0.75072,                 0.5093,                0.95596,                0.93216,                0.86762,                0.91221,                0.75607,                0.89724,                0.72428,                 1.1465,              0.0005546,              0.0005546,              0.0005546
                    294,                0.73504,                0.49501,                0.93595,                0.92939,                0.85743,                0.91522,                0.75998,                0.89497,                0.72546,                 1.1487,             0.00054965,             0.00054965,             0.00054965
                    295,                0.74295,                0.51521,                0.94933,                0.92594,                0.86573,                0.91623,                0.76351,                0.90723,                0.73232,                 1.1635,              0.0005447,              0.0005447,              0.0005447
                    296,                 0.7205,                  0.496,                0.93244,                 0.9297,                0.86558,                0.91502,                0.76309,                0.90522,                0.72645,                 1.1623,             0.00053975,             0.00053975,             0.00053975
                    297,                0.72044,                0.49217,                0.93441,                0.93634,                0.85336,                0.91044,                0.75685,                0.90855,                0.71281,                 1.1567,              0.0005348,              0.0005348,              0.0005348
                    298,                0.71899,                0.49436,                0.94262,                0.92385,                0.86484,                0.90846,                0.75521,                0.91079,                0.71968,                 1.1617,             0.00052985,             0.00052985,             0.00052985
                    299,                0.72581,                0.50502,                0.93258,                0.93357,                 0.8587,                0.91031,                 0.7604,                0.88834,                0.73935,                 1.1529,              0.0005249,              0.0005249,              0.0005249
                    300,                0.71697,                0.49067,                0.94539,                0.93392,                0.86357,                0.90962,                0.75943,                0.89466,                0.72594,                 1.1587,             0.00051995,             0.00051995,             0.00051995
                    301,                0.70925,                0.48454,                0.94377,                0.95274,                0.86229,                0.90687,                0.75835,                0.90053,                0.71565,                 1.1676,               0.000515,               0.000515,               0.000515
                    302,                0.71358,                 0.5039,                0.94846,                0.94149,                0.84929,                0.90911,                0.76262,                0.90351,                0.74018,                 1.1588,             0.00051005,             0.00051005,             0.00051005
                    303,                 0.7113,                0.49012,                0.93897,                0.93232,                 0.8554,                0.90903,                0.76538,                0.90553,                0.74254,                 1.1777,              0.0005051,              0.0005051,              0.0005051
                    304,                 0.6968,                0.48624,                0.93155,                0.92901,                0.85947,                0.90776,                0.76694,                0.88386,                0.74908,                 1.1571,             0.00050015,             0.00050015,             0.00050015
                    305,                0.69009,                0.48646,                0.93595,                0.94874,                0.84929,                0.90666,                0.76358,                 0.8772,                0.72412,                 1.1563,              0.0004952,              0.0004952,              0.0004952
                    306,                0.69188,                0.47714,                0.93088,                 0.9498,                 0.8554,                0.91257,                0.77131,                 0.8749,                0.70131,                  1.155,             0.00049025,             0.00049025,             0.00049025
                    307,                0.71433,                0.48609,                0.94011,                0.92919,                0.86151,                 0.9151,                0.77778,                0.86656,                0.71115,                 1.1459,              0.0004853,              0.0004853,              0.0004853
