epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,222.994,1.74181,1.89347,1.77956,0.55787,0.47684,0.50014,0.19847,1.83358,1.91665,1.94437,0.00179705,0.00179705,0.00179705
43,228.09,1.79112,1.96778,1.79647,0.56152,0.51163,0.57085,0.2139,1.81244,1.79644,1.90308,0.0017921,0.0017921,0.0017921
44,233.454,1.73609,1.89511,1.73656,0.52428,0.54651,0.49853,0.19248,1.85055,1.82838,1.91661,0.00178715,0.00178715,0.00178715
45,238.625,1.6924,1.8718,1.72237,0.52607,0.51163,0.53471,0.21431,1.78043,1.79404,1.89943,0.0017822,0.0017822,0.0017822
46,243.683,1.7159,1.89129,1.74426,0.54735,0.45349,0.50948,0.19964,1.78206,1.8298,1.87614,0.00177725,0.00177725,0.00177725
47,248.777,1.76673,1.89552,1.75037,0.48087,0.54651,0.4307,0.17924,1.83601,1.86763,1.90174,0.0017723,0.0017723,0.0017723
48,254.021,1.70057,1.83893,1.72827,0.52812,0.58721,0.53589,0.2165,1.74604,1.7736,1.87096,0.00176735,0.00176735,0.00176735
49,259.046,1.68947,1.85151,1.7492,0.57405,0.51744,0.53819,0.20997,1.84094,1.77641,1.92906,0.0017624,0.0017624,0.0017624
50,264.104,1.67696,1.84506,1.72882,0.57335,0.53488,0.55964,0.22593,1.79557,1.72848,1.91056,0.00175745,0.00175745,0.00175745
51,269.461,1.68895,1.82187,1.72883,0.53131,0.58658,0.522,0.22405,1.839,1.84937,1.92848,0.0017525,0.0017525,0.0017525
52,274.431,1.72142,1.86516,1.76937,0.50994,0.52907,0.50488,0.21743,1.79009,1.85444,1.91903,0.00174755,0.00174755,0.00174755
53,279.434,1.70086,1.84588,1.74471,0.56219,0.56977,0.55807,0.24124,1.76464,1.74883,1.89728,0.0017426,0.0017426,0.0017426
54,284.783,1.7274,1.87243,1.74538,0.60867,0.5407,0.56943,0.21168,1.84288,1.75045,1.92054,0.00173765,0.00173765,0.00173765
55,289.897,1.6672,1.78082,1.68883,0.56236,0.62209,0.58598,0.25418,1.73794,1.672,1.84058,0.0017327,0.0017327,0.0017327
56,295.058,1.67622,1.7345,1.69613,0.45894,0.55233,0.51704,0.22248,1.81522,1.75355,1.91819,0.00172775,0.00172775,0.00172775
57,300.136,1.71595,1.84656,1.74742,0.61683,0.54651,0.59229,0.24337,1.84004,1.69974,1.92019,0.0017228,0.0017228,0.0017228
58,305.147,1.67607,1.81959,1.73265,0.50979,0.52907,0.51564,0.20946,1.85812,1.83214,1.94332,0.00171785,0.00171785,0.00171785
59,309.883,1.69357,1.82511,1.74519,0.51501,0.5407,0.5687,0.24094,1.79092,1.76306,1.87485,0.0017129,0.0017129,0.0017129
60,314.954,1.68986,1.78801,1.68897,0.55544,0.49419,0.51137,0.22591,1.83944,1.90373,1.94499,0.00170795,0.00170795,0.00170795
61,320.219,1.69806,1.78991,1.73411,0.60609,0.55814,0.60884,0.26654,1.73317,1.65358,1.84961,0.001703,0.001703,0.001703
62,325.296,1.63435,1.70362,1.6852,0.57324,0.58721,0.60709,0.26991,1.78621,1.61691,1.86817,0.00169805,0.00169805,0.00169805
63,330.452,1.68973,1.72596,1.72747,0.66068,0.57558,0.6482,0.27254,1.80305,1.61733,1.90174,0.0016931,0.0016931,0.0016931
64,335.786,1.66579,1.77117,1.72394,0.62243,0.69966,0.68508,0.28549,1.73472,1.62366,1.86407,0.00168815,0.00168815,0.00168815
65,340.879,1.65342,1.73975,1.68817,0.6133,0.62791,0.63974,0.26028,1.82185,1.62355,1.86474,0.0016832,0.0016832,0.0016832
66,345.991,1.6513,1.71144,1.67825,0.62002,0.61628,0.66747,0.29187,1.72753,1.55399,1.84022,0.00167825,0.00167825,0.00167825
67,351.736,1.65201,1.69744,1.67721,0.62913,0.57558,0.60293,0.25743,1.71337,1.66749,1.83386,0.0016733,0.0016733,0.0016733
68,356.658,1.63828,1.73386,1.65695,0.55005,0.63953,0.63035,0.26837,1.68124,1.62043,1.83016,0.00166835,0.00166835,0.00166835
69,361.602,1.59329,1.62563,1.65305,0.68232,0.63687,0.63825,0.2878,1.67529,1.58054,1.82919,0.0016634,0.0016634,0.0016634
70,366.822,1.63632,1.62927,1.65342,0.60671,0.66279,0.66649,0.29434,1.6929,1.52379,1.82698,0.00165845,0.00165845,0.00165845
71,371.853,1.63693,1.66543,1.68182,0.65707,0.63953,0.6838,0.29037,1.66072,1.58122,1.82432,0.0016535,0.0016535,0.0016535
72,376.708,1.59232,1.66973,1.65117,0.67273,0.59757,0.6524,0.2838,1.75996,1.57212,1.88401,0.00164855,0.00164855,0.00164855
73,381.813,1.61522,1.69222,1.67319,0.67758,0.57558,0.64266,0.2791,1.79139,1.60357,1.88959,0.0016436,0.0016436,0.0016436
74,386.909,1.62142,1.67437,1.66548,0.53949,0.53488,0.59762,0.26114,1.82729,1.71446,1.92895,0.00163865,0.00163865,0.00163865
